,,,RESULTADOS DE LAS ELECCIONES PRESIDENCIALES DE 1998,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
cod_estado,estado,cod_municipio,municipio,cod_parroquia,parroquia,cod_centro,centro,dirección,mesa,rep,total votos,votos_oficialismo,votos_oposición,votos nulos
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,40,UNID BASC MADARIAGA,DELICIAS A CONCORDIA NO 90-4 CARACAS,1,762,529,282,189,52
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,40,UNID BASC MADARIAGA,DELICIAS A CONCORDIA NO 90-4 CARACAS,2,548,380,210,145,23
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,40,UNID BASC MADARIAGA,DELICIAS A CONCORDIA NO 90-4 CARACAS,3,583,396,218,137,38
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,41,UNID EDUC EL NAZARENO,DR GONZALEZ A PARAISO,1,497,382,239,135,7
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,41,UNID EDUC EL NAZARENO,DR GONZALEZ A PARAISO,2,564,413,236,165,9
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,6,465,327,170,150,7
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,7,434,316,161,141,10
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,8,459,318,144,162,11
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,9,516,381,179,194,8
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,1,461,340,163,157,18
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,2,443,325,163,154,5
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,3,484,367,170,187,6
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,4,462,335,171,156,7
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,60,UND EDUC COLEGIO LA SALLE,SANTA BARBARA A TIENDA HONDA CARACAS,5,469,342,168,159,13
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,70,ESC BASC DR FRANCISCO MENDOZA,CEIBA A PORVENIR 79-1 CARACAS,1,571,398,225,155,15
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,70,ESC BASC DR FRANCISCO MENDOZA,CEIBA A PORVENIR 79-1 CARACAS,2,522,355,205,138,9
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,81,UNID EDUC CENTRAL DE EDUCACION,ESQ JESUITA,1,726,457,229,207,20
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,81,UNID EDUC CENTRAL DE EDUCACION,ESQ JESUITA,2,726,477,229,234,14
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,82,COL UNIV FRANCISCO DE MIRANDA,ESQUINA DE MIJARES,2,648,442,249,181,9
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,82,COL UNIV FRANCISCO DE MIRANDA,ESQUINA DE MIJARES,3,654,480,242,221,11
1,DTTO. CAPITAL,1,MP. LIBERTADOR,1,PQ. ALTAGRACIA,82,COL UNIV FRANCISCO DE MIRANDA,ESQUINA DE MIJARES,1,887,600,315,270,15
